question_id,language,topic_id,question,correct_answer,incorrect_1,incorrect_2,incorrect_3,validated
31,Python,2,What does the term 'method overriding' mean,Defining a method in a subclass that has the same name as one in the parent class,Defining multiple methods with the same name,Creating a new class from an existing class,Changing the return type of a method,0
32,Python,2,What is a class method,A method that belongs to the class rather than any object,A method that cannot be called,A static method,An instance method,0
33,Python,2,True or False: The __del__ method is called when an object is deleted,TRUE,FALSE,Only in special cases,Only in subclasses,0
34,Python,2,Which of the following can be a callable object,A function,An instance of a class with __call__ defined,A class itself,All of the above,0
35,Python,2,What is the purpose of the __repr__ method,To provide a formal string representation of an object,To create an instance,To define methods,To return the class type,0
36,Python,2,What does the term 'final' imply in Python,The method cannot be overridden,The class cannot be inherited,The variable is constant,None of the above,0
37,Python,2,"True or False: In Python, you can create anonymous functions using lambda",TRUE,FALSE,Only in classes,Only in methods,0
38,Python,2,What is the result of 'class MyClass: pass',Creates an empty class called MyClass,Throws an error,Creates an instance of MyClass,Defines a method,0
39,Python,2,What does the term 'getter' refer to in Python,A method that retrieves the value of an attribute,A method that sets the value of an attribute,A property of a class,A type of class,0
40,Python,2,What is a static method in Python,A method that belongs to the class rather than an instance,A method that cannot be called,A method that accesses instance variables,A method that must be overridden,0
41,Python,2,True or False: Class variables are shared among all instances of a class,TRUE,FALSE,Only for private variables,Only for static methods,0
42,Java,2,What is the main principle of Object Oriented Programming,Encapsulation,Compilation,Execution,Interpretation,0
43,Java,2,Which keyword is used to create a class in Java,class,object,define,create,0
44,Java,2,What is the method called that has the same name as the class,Constructor,Destructor,Initializer,Method,0
45,Java,2,Which keyword is used to inherit a class in Java,extends,inherits,super,implements,0
46,Java,2,What does polymorphism allow in Java,Methods to do different things based on the object,Multiple classes to have the same name,Class methods to be static,Objects to be created without constructors,0
47,Java,2,Which of the following is not an access modifier,private,protected,public,static,0
48,Java,2,What is a class in Java,A blueprint for creating objects,An object itself,A variable type,A data structure,0
49,Java,2,What does 'this' keyword refer to in Java,The current object,The parent class,The superclass,A static variable,0
50,Java,2,What is the main purpose of encapsulation,To hide the internal state of an object,To allow multiple inheritance,To create interfaces,To define classes,0
51,Java,2,Which method is automatically called when an object is created,Constructor,Finalizer,Destructor,Initializer,0
52,Java,2,What is the return type of a constructor,None,void,int,String,0
53,Java,2,What keyword is used to define an interface in Java,interface,abstract,class,implements,0
54,Java,2,What is the purpose of the super keyword,To access parent class methods,To define abstract methods,To create new objects,To override methods,0
55,Java,2,Which of the following supports multiple inheritance,Interfaces,Classes,Enums,Abstract classes,0
56,Java,2,What is method overloading,Defining multiple methods with the same name,Defining methods with different names,Changing method return types,Using different access modifiers,0
57,Java,2,What does the 'final' keyword indicate when applied to a class,The class cannot be subclassed,The class cannot be instantiated,The class is abstract,The class has no methods,0
58,Java,2,Which of the following cannot be a constructor,Static,Default,Parameterized,Private,0
59,Java,2,What is the output of a method with no return statement,Null,Compilation error,Undefined,Void,0
60,Java,2,Which statement is true about abstract classes,Cannot be instantiated,Must have abstract methods,Can only have one method,Are the same as interfaces,0
61,Java,2,What is the default access modifier for class members,Package-private,Public,Private,Protected,0
62,Java,2,What does the term 'inheritance' mean in OOP,Deriving a new class from an existing class,Creating multiple classes,Combining classes,Deleting classes,0
63,Java,2,Which type of relationship does composition represent,Has-a,Is-a,Uses-a,Belongs-to,0
64,Java,2,Which keyword is used to implement an interface,implements,extends,uses,inherits,0
65,Java,2,What is an example of a built-in interface in Java,Runnable,ArrayList,HashMap,String,0
66,Java,2,Which of the following is true about static methods,Can be called without creating an instance,Can access instance variables,Can be overridden,Can only be private,0
67,Java,2,What is the purpose of the clone method in Java,To create a copy of an object,To delete an object,To compare objects,To serialize an object,0
68,Java,2,What does the toString method do,Returns a string representation of an object,Converts an object to a JSON string,Returns the class name,Returns the hash code,0
69,Java,2,Which of the following is an example of a checked exception,IOException,NullPointerException,ArrayIndexOutOfBoundsException,ArithmeticException,0
70,Java,2,What is the output of 'System.out.println(1 + 1 == 2)',TRUE,FALSE,1,0,0
71,Java,2,What does the term 'encapsulation' refer to,Hiding data within a class,Defining a class,Creating objects,Inheriting classes,0
72,Java,2,What is the primary benefit of using interfaces,Enforcing a contract for classes,Allowing class inheritance,Providing default methods,Reducing code size,0
73,Java,2,Which of the following is not a feature of OOP,Abstraction,Encapsulation,Compilation,Inheritance,0
74,Java,2,What is the main purpose of the 'abstract' keyword,To define a class that cannot be instantiated,To create an interface,To enforce method implementation,To define static methods,0
75,Java,2,Which of the following can be abstract,Methods and Classes,Only Methods,Only Classes,Only Interfaces,0
76,Java,2,What is the relationship between a superclass and a subclass,Is-a relationship,Has-a relationship,Uses-a relationship,Implements relationship,0
77,Java,2,What does the 'instanceof' operator do,Checks if an object is an instance of a class,Creates an instance of a class,Checks method availability,Returns class type,0
78,Java,2,Which of the following can be a part of a class,Fields,Methods,Constructors,All of the above,0
79,Java,2,What happens if a class does not have a constructor defined,Default constructor is provided,It cannot be instantiated,It throws an error,It must be abstract,0
80,Java,2,What does a private constructor restrict,Instantiating the class from outside,Inheriting the class,Accessing class members,Creating static methods,0
81,Java,2,Which keyword is used to handle exceptions,try,catch,throw,All of the above,0
82,Java,2,What is true about inner classes,They can access outer class members,They cannot be static,They must be public,They cannot be instantiated,0
83,Java,2,What is the output of an empty catch block,No error message is displayed,Error message is displayed,Code fails,Code executes without issues,0
84,Java,2,What is the purpose of the 'default' keyword in interfaces,To define default methods,To define abstract methods,To allow static methods,To implement classes,0
85,Java,2,Which of the following allows for polymorphism,Method overriding,Method overloading,Static methods,All of the above,0
86,Java,2,What does the 'new' keyword do,Creates a new object,Accesses existing objects,Clones an object,Deletes an object,0
87,Java,2,What is true about Java Beans,They must have a default constructor,They can be serialized,They have getter and setter methods,All of the above,0
88,C++,2,What keyword is used to define a class in C++,class,define,function,object,0
89,C++,2,What is the purpose of a constructor in C++,To initialize objects,To define methods,To create a class,To delete an object,0
90,C++,2,Which of the following is not an access specifier in C++,private,public,protected,friend,0
91,C++,2,What does inheritance allow in C++,Creating a new class from an existing class,Creating multiple classes,Hiding class members,Defining functions,0
92,C++,2,What is polymorphism in C++,Methods behaving differently based on the object,Multiple classes with the same name,Classes that inherit from one another,Creating multiple methods,0
93,C++,2,What keyword is used to inherit a class in C++,class Child : public Parent,inherits Parent,extends Parent,inherits class,0
94,C++,2,Which of the following correctly declares a virtual function,virtual void functionName(),void virtual functionName(),virtual functionName(),functionName() virtual,0
95,C++,2,What does the keyword 'this' refer to in a class,The current object,The parent class,The method itself,The class type,0
96,C++,2,True or False: C++ supports multiple inheritance,TRUE,FALSE,Not applicable,Depends on the compiler,0
97,C++,2,What does encapsulation mean in C++,Hiding the internal state of an object,Creating multiple classes,Defining a method,Implementing an interface,0
98,C++,2,What is a destructor's purpose in C++,To clean up before an object is destroyed,To create an object,To define a method,To return a value,0
99,C++,2,True or False: You can create a method with the same name as the class in C++,TRUE,FALSE,Only in subclasses,Only in templates,0
100,C++,2,What is an abstract class in C++,A class that cannot be instantiated,A class with only private members,A class with no methods,A class that must be inherited,0
101,C++,2,Which of the following is a characteristic of a pure virtual function,Must be overridden in derived classes,Cannot be overridden,Can have a definition,Must be declared public,0
102,C++,2,What does the keyword 'friend' do in C++,Allows access to private members from another class,Defines a class,Creates a new object,Overrides a method,0
103,C++,2,True or False: The copy constructor is called when an object is passed by value,TRUE,FALSE,Only for primitive types,Only for pointers,0
104,C++,2,What is method overriding in C++,Defining a method in a subclass that has the same name as one in the parent class,Defining multiple methods with the same name,Creating a new class from an existing class,Changing the return type of a method,0
105,C++,2,What is the purpose of the virtual keyword in C++,To allow polymorphic behavior,To define a class,To create a constructor,To declare a variable,0
106,C++,2,What does the term 'static binding' mean,The method call is resolved at compile time,The method call is resolved at runtime,No binding occurs,Only for static methods,0
107,C++,2,True or False: All classes in C++ inherit from a base class,TRUE,FALSE,Only some classes,Only if specified,0
108,C++,2,What is the output of the following code: class Base {}; class Derived : public Base {};,Derived is a subclass of Base,Base is a subclass of Derived,Both classes are unrelated,An error occurs,0
109,C++,2,What is a virtual destructor,A destructor that can be overridden,A destructor that cannot be called,A destructor without implementation,None of the above,0
110,C++,2,Which of the following can be a member of a class,Functions and variables,Only functions,Only variables,None of the above,0
111,C++,2,What is the default access specifier for members of a class in C++,private,public,protected,friend,0
112,C++,2,True or False: An inline function can be defined inside a class,TRUE,FALSE,Only for private functions,Only for public functions,0
113,C++,2,What does the keyword 'const' mean when applied to a member function,The function does not modify the object,The function cannot be called,The function must be overridden,The function is static,0
114,C++,2,What is a constructor initializer list in C++,A way to initialize member variables before the constructor body executes,A list of all constructors,A way to define destructors,None of the above,0
115,C++,2,True or False: A class can have multiple constructors,TRUE,FALSE,Only if they are virtual,Only if they are private,0
116,C++,2,What is the result of 'class A { public: void func(); };',Defines a class A with a public function,Defines a function only,Throws an error,Creates an object,0
117,C++,2,What does the 'override' keyword signify,That a method is overriding a base class method,That a method cannot be overridden,That a method is final,None of the above,0
118,C++,2,"True or False: In C++, a class can have multiple base classes",TRUE,FALSE,Only if specified,Only for templates,0
119,C++,2,What is the purpose of the scope resolution operator (::),To access members of a class or namespace,To define a class,To create an instance,To declare variables,0
120,C++,2,What is a template in C++,A blueprint for creating classes or functions,A type of class,A method that cannot be defined,None of the above,0
121,C++,2,True or False: C++ allows function overloading,TRUE,FALSE,Only for constructors,Only for methods,0
122,C++,2,What is the purpose of the 'new' keyword in C++,To allocate memory on the heap,To declare a variable,To create an object,To define a class,0
123,C++,2,What is the main advantage of using an abstract class,To enforce method implementation in derived classes,To create instances,To define data members,To allow multiple inheritance,0
124,C++,2,True or False: Private members of a class cannot be accessed from derived classes,FALSE,TRUE,Only if not inherited,Only in friend classes,0
125,C++,2,"What is the output of 'class Base { public: virtual void show() { cout << ""Base""; }}; class Derived : public Base { public: void show() { cout << ""Derived""; }};'",Derived,Base,Both,Error,0
126,C++,2,What does 'public' mean in C++,Members can be accessed from anywhere,Members can only be accessed from within the class,Members can be accessed only by derived classes,None of the above,0
127,C++,1,What is the size of an int in C++,Typically 4 bytes,Typically 2 bytes,Typically 8 bytes,Depends on the compiler,0
128,C++,1,Which of the following is a floating-point type,float,int,char,bool,0
129,C++,1,What is the purpose of the bool data type,To store true or false values,To store character values,To store integer values,To store decimal values,0
130,C++,1,What keyword is used to define a constant in C++,const,define,constant,fixed,0
131,C++,1,True or False: A character in C++ is represented by an integer value,TRUE,FALSE,Only in ASCII,Only in Unicode,0
132,C++,1,What is the default value of a bool variable in C++,FALSE,TRUE,0,1,0
133,C++,1,Which of the following is a valid way to declare a string in C++,std::string myString,string myString,char myString[],String myString,0
134,C++,1,What does the sizeof operator do,Returns the size of a data type,Returns the value of a variable,Returns the type of a variable,Returns the address of a variable,0
135,C++,1,What type is used to store a single character,char,string,int,float,0
136,C++,1,True or False: The float type has more precision than double in C++,FALSE,TRUE,Only for small numbers,Only for large numbers,0
137,C++,1,Which of the following types can hold decimal values,float,char,int,bool,0
138,C++,1,What is the purpose of the double data type,To store larger floating-point values,To store characters,To store boolean values,To store integers,0
139,C++,1,What is an array in C++,A collection of variables of the same type,A collection of variables of different types,A single variable,None of the above,0
140,C++,1,True or False: You can change the value of a constant variable after it's defined,FALSE,TRUE,Only if it is static,Only if it is global,0
141,C++,1,Which of the following is an example of a user-defined data type,struct,int,char,float,0
142,C++,1,What is the size of a long long int in C++,Typically 8 bytes,Typically 4 bytes,Typically 2 bytes,Depends on the system,0
143,C++,1,What does the keyword 'typedef' do,Creates an alias for a data type,Defines a new data type,Declares a variable,None of the above,0
144,C++,1,True or False: A string in C++ is an array of characters,TRUE,FALSE,Only for C-style strings,Only for wide strings,0
145,C++,1,What is a pointer in C++,A variable that holds the address of another variable,A type of data,A constant variable,None of the above,0
146,C++,1,Which of the following is not a built-in data type,struct,int,char,float,0
147,C++,1,What type is used for dynamic memory allocation,void*,int,float,char,0
148,C++,1,True or False: Enumerations can be used to define a set of integer constants,TRUE,FALSE,Only for characters,Only for floats,0
149,C++,1,What is the result of adding an int to a float in C++,The result is a float,The result is an int,The result is a double,An error occurs,0
150,C++,1,Which type is best for storing true/false values,bool,int,char,float,0
151,C++,1,What happens if you use an uninitialized variable in C++,It contains a garbage value,It throws an error,It is set to zero,It is automatically initialized,0
152,C++,1,True or False: A union can hold multiple data types at the same time,FALSE,TRUE,Only in C++11,Only in C,0
153,C++,1,What is the maximum value for an unsigned char in C++,255,128,64,32,0
154,C++,1,What is a constant pointer in C++,A pointer that cannot change the address it holds,A pointer that cannot point to a different variable,A pointer that cannot be dereferenced,A pointer that is not initialized,0
155,C++,1,True or False: An int can be assigned a float value without casting,TRUE,FALSE,Only in certain conditions,Only in C++11,0
156,C++,1,Which of the following can be used to allocate memory for an array dynamically,new,malloc,calloc,All of the above,0
157,C++,1,What is the value of a char variable that is initialized with 'A',65,97,68,1,0
158,C++,1,Which data type can store both integers and decimals,double,int,char,bool,0
159,C++,1,True or False: The default data type for floating-point numbers is float,FALSE,TRUE,Only in C,Only in C++11,0
160,C++,1,What is the purpose of the const keyword when used with pointers,To prevent changing the value pointed to,To prevent changing the pointer itself,Both of the above,None of the above,0
161,C++,1,What is a reference variable in C++,An alias for another variable,A pointer to a variable,A type of variable,None of the above,0
162,C++,1,True or False: You can perform arithmetic operations on char data types,TRUE,FALSE,Only in ASCII,Only in Unicode,0
163,C++,1,Which of the following is a correct way to declare a constant integer in C++,const int myConst = 10;,int const myConst = 10;,Both of the above,None of the above,0
164,C++,1,What is the range of a signed int in C++,"-2,147,483,648 to 2,147,483,647","0 to 4,294,967,295","-32,768 to 32,767",None of the above,0
165,C++,1,What is a wide character type used for,To store Unicode characters,To store regular characters,To store integers,To store floating-point numbers,0
166,C++,1,True or False: A void pointer can point to any data type,TRUE,FALSE,Only to int,Only to char,0
167,C++,1,What is the result of dividing two integers in C++,An integer,A float,A double,An error occurs,0
168,Java,1,What is the size of an int in Java,4 bytes,2 bytes,8 bytes,Depends on the JVM,0
169,Java,1,Which of the following is a floating-point type,float,int,char,boolean,0
170,Java,1,What is the purpose of the boolean data type,To store true or false values,To store character values,To store integer values,To store decimal values,0
171,Java,1,What keyword is used to define a constant in Java,final,constant,define,static,0
172,Java,1,True or False: A character in Java is represented by a Unicode value,TRUE,FALSE,Only in ASCII,Only in UTF-8,0
173,Java,1,What is the default value of a boolean variable in Java,FALSE,TRUE,0,1,0
174,Java,1,Which of the following is a valid way to declare a string in Java,String myString;,string myString;,char myString[];,String[] myString;,0
175,Java,1,What does the sizeof operator do in Java,Not applicable,Returns the size of a data type,Returns the value of a variable,Returns the address of a variable,0
176,Java,1,What type is used to store a single character,char,String,int,float,0
177,Java,1,True or False: The float type has more precision than double in Java,FALSE,TRUE,Only for small numbers,Only for large numbers,0
178,Java,1,Which of the following types can hold decimal values,double,char,int,boolean,0
179,Java,1,What is the purpose of the long data type,To store larger integer values,To store characters,To store boolean values,To store decimals,0
180,Java,1,What is an array in Java,A collection of variables of the same type,A collection of variables of different types,A single variable,None of the above,0
181,Java,1,True or False: You can change the value of a final variable after it's defined,FALSE,TRUE,Only if it is static,Only if it is global,0
182,Java,1,Which of the following is an example of a user-defined data type,class,int,char,float,0
183,Java,1,What is the size of a long in Java,8 bytes,4 bytes,2 bytes,Depends on the JVM,0
184,Java,1,What does the keyword 'instanceof' do,Checks the type of an object,Creates a new instance of a class,Defines a new type,None of the above,0
185,Java,1,True or False: A string in Java is an object,TRUE,FALSE,Only for C-style strings,Only for wide strings,0
186,Java,1,What is the default value of an object reference in Java,null,0,FALSE,undefined,0
187,Java,1,Which of the following can be used to define a character constant in Java,'A',"A/",A,None of the above,0
188,Java,1,What is the value of a char variable initialized with 'A',65,97,68,1,0
189,Java,1,True or False: A byte can hold values from -128 to 127,TRUE,FALSE,Only in signed byte,Only in unsigned byte,0
190,Java,1,What type is best for storing true/false values,boolean,int,char,float,0
191,Java,1,What happens if you use an uninitialized variable in Java,It contains a default value,It throws an error,It is set to zero,It is automatically initialized,0
192,Java,1,True or False: Enums in Java can be used to define a set of constants,TRUE,FALSE,Only in C++,Only in C#,0
193,Java,1,What is the maximum value for an unsigned byte in Java,255,128,64,32,0
194,Java,1,What is a reference type in Java,A type that refers to an object,A primitive type,An integer type,A float type,0
195,Java,1,True or False: You can perform arithmetic operations on char data types in Java,TRUE,FALSE,Only in ASCII,Only in Unicode,0
196,Java,1,Which of the following is a correct way to declare a constant integer in Java,final int myConst = 10;,int const myConst = 10;,Both of the above,None of the above,0
197,Java,1,What is the range of a signed int in Java,"-2,147,483,648 to 2,147,483,647","0 to 4,294,967,295","-32,768 to 32,767",None of the above,0
198,Java,1,What is a StringBuilder used for,To manipulate strings efficiently,To store integers,To define a constant string,To create arrays,0
199,Java,1,True or False: A void type can return a value in Java,FALSE,TRUE,Only in C++,Only in C#,0
200,Java,1,What is the result of adding an int to a double in Java,A double,An int,A float,An error occurs,0
201,Java,1,Which data type can store both integers and decimals,double,int,char,boolean,0
202,Java,1,What is the result of dividing two integers in Java,An integer,A float,A double,An error occurs,0
203,Java,1,True or False: A character literal can be assigned to an int variable,TRUE,FALSE,Only in C,Only in C++,0
204,Java,1,What type is used to represent a decimal number in Java,float,int,char,boolean,0
205,Java,1,Which of the following is a correct way to declare an array in Java,int[] myArray;,myArray int[];,int myArray[];,None of the above,0
206,Java,1,True or False: You can create an array of objects in Java,TRUE,FALSE,Only for primitive types,Only for strings,0
207,Java,1,What is the default data type for floating-point numbers in Java,double,float,int,char,0
208,Java,1,What is an implicit type conversion,Automatic conversion of one type to another,Manual conversion of types,Conversion of strings to integers,None of the above,0
209,Java,1,True or False: A list can store different types of objects in Java,FALSE,TRUE,Only if they are subclasses,Only if they are interfaces,0
210,Python,1,What is the output of type(3.14)?,<class 'float'>,<class 'int'>,<class 'str'>,<class 'complex'>,0
211,Python,1,Which of the following is not a built-in data type in Python?,None,List,Tuple,Set,0
212,Python,1,What data type is used to store true or false values?,bool,int,str,float,0
213,Python,1,What is the output of type([])?,<class 'list'>,<class 'dict'>,<class 'set'>,<class 'tuple'>,0
214,Python,1,Which function converts a string to an integer?,int(),str(),float(),bool(),0
215,Python,1,What is the output of 10 // 3?,3,3.33,3,4,0
216,Python,1,Which of the following is a mutable data type?,List,Tuple,String,Integer,0
217,Python,1,What is the result of 'Hello' + ' World'?,Hello World,HelloWorld,Hello World!,"Hello, World",0
218,Python,1,Which of the following is used to create a dictionary?,{},[],(),<>,0
219,Python,1,What is the output of len('Python')?,6,5,7,8,0
220,Python,1,What data type would you use for a single character?,str,int,list,tuple,0
221,Python,1,What is the output of type({'a': 1})?,<class 'dict'>,<class 'list'>,<class 'set'>,<class 'tuple'>,0
222,Python,1,Which data type is used to store multiple items in a single variable?,List,int,float,bool,0
223,Python,1,What is the output of str(100) + ' is a number'?,100 is a number,100is a number,100 is a number!,100 is not a number,0
224,Python,1,Which of the following is an immutable data type?,Tuple,List,Dictionary,Set,0
225,Python,1,What is the result of type(True)?,<class 'bool'>,<class 'int'>,<class 'str'>,<class 'list'>,0
226,Python,1,"What is the output of [1, 2] + [3, 4]?","[1, 2, 3, 4]","[4, 3, 2, 1]","[[1, 2], [3, 4]]","[1, 2] + [3, 4]",0
227,Python,1,Which data type allows duplicate values?,List,Set,Tuple,Dictionary,0
228,Python,1,"What is the output of {1, 2, 2}?","{1, 2}","{1, 2, 2}",{2},Error,0
229,Python,1,What is the result of 'abc' * 3?,abcabcabc,abcabc,abcabcabc!,Error,0
230,Python,1,What is the output of 5 == 5.0?,TRUE,FALSE,Error,None,0
231,Python,1,Which of the following data types can be used as a key in a dictionary?,String,List,Set,Dictionary,0
232,Python,1,What is the output of '2' + '2'?,22,4,Error,'4',0
233,Python,1,Which of the following is a way to create a set?,"set([1, 2, 3])","[1, 2, 3]","(1, 2, 3)","{1, 2, 3}",0
234,Python,1,What is the result of 1.0 + 1?,2,2,Error,None,0
235,Python,1,Which function would you use to convert a float to a string?,str(),float(),int(),bool(),0
236,Python,1,"What is the output of isinstance(3.0, float)?",TRUE,FALSE,Error,None,0
237,Python,1,"What is the output of [1, 2, 3] * 0?",[],[0],"[1, 2, 3]",Error,0
238,Python,1,Which data type is used for text in Python?,str,int,float,bool,0
239,Python,1,"What is the output of dict(a=1, b=2)?","{'a': 1, 'b': 2}",Error,"{'a', 1, 'b', 2}","('a': 1, 'b': 2)",0
240,Python,1,Which of the following can hold an ordered collection of items?,List,Set,Dictionary,All of the above,0
241,Python,1,"What is the output of type((1, 2))?",<class 'tuple'>,<class 'list'>,<class 'set'>,<class 'dict'>,0
242,Python,1,Which keyword is used to declare a boolean variable?,bool,int,str,float,0
243,Python,1,What is the output of 0.1 + 0.2 == 0.3?,FALSE,TRUE,Error,None,0
244,Python,1,"What is the output of round(2.675, 2)?",2.67,2.68,2.7,2.6,0
245,Python,1,What is the output of 10 % 3?,1,3,2,0,0
246,Python,1,Which of the following is a valid way to create a tuple?,"(1, 2, 3)","{1, 2, 3}","[1, 2, 3]","<1, 2, 3>",0
247,Python,1,"What is the output of {1: 'a', 2: 'b'}?","{1: 'a', 2: 'b'}",Error,"{1, 'a', 2, 'b'}","{(1, 'a'), (2, 'b')}",0
248,Python,1,What data type is used for an unordered collection of unique items?,Set,List,Tuple,Dictionary,0
249,Python,1,"What is the output of str([1, 2])?","[1, 2]",Error,"1, 2","'1, 2'",0
250,Python,1,Which of the following is a valid string method?,lower(),upper(),split(),All of the above,0
251,Python,1,What is the output of len([])?,0,1,Error,None,0
252,Python,1,Which operator is used to check for equality?,==,=,!=,<>,0
253,Python,1,What is the output of type(None)?,<class 'NoneType'>,<class 'str'>,<class 'int'>,<class 'float'>,0
254,Python,1,"What is the output of [1, 2, 3][1]?",2,1,3,Error,0
255,Python,1,"What is the output of (1, 2) + (3, 4)?","(1, 2, 3, 4)","(4, 3, 2, 1)",Error,"(1, 2, (3, 4))",0
256,Python,1,"What is the result of {1, 2} | {2, 3}?","{1, 2, 3}","{1, 2}","{2, 3}","{1, 2, 2, 3}",0
257,Python,3,Which data structure uses FIFO (First In First Out) principle?,Queue,Stack,List,Set,0
258,Python,3,Which data structure is mutable and ordered?,List,Tuple,String,Set,0
259,Python,3,What method adds an element to the end of a list?,append(),add(),insert(),extend(),0
260,Python,3,"What is the output of len({'a': 1, 'b': 2})?",2,1,3,Error,0
261,Python,3,Which of the following is a valid way to create a set?,"{1, 2, 3}","[1, 2, 3]","(1, 2, 3)",{1; 2; 3},0
262,Python,3,Which data structure can store key-value pairs?,Dictionary,List,Tuple,Set,0
263,Python,3,"What is the output of [1, 2, 3][0]?",1,2,3,Error,0
264,Python,3,Which method removes an element from a list by value?,remove(),pop(),discard(),delete(),0
265,Python,3,What is the time complexity of appending to a list in Python?,O(1),O(n),O(log n),O(n^2),0
266,Python,3,What data structure is used for implementing stacks?,List,Dictionary,Set,Tuple,0
267,Python,3,Which of the following methods can be used to sort a list?,sort(),order(),arrange(),shuffle(),0
268,Python,3,"What is the output of {1, 2} & {2, 3}?",{2},"{1, 2, 3}",{1},{3},0
269,Python,3,What data structure uses LIFO (Last In First Out) principle?,Stack,Queue,List,Set,0
270,Python,3,"What is the output of (1, 2) + (3, 4)?","(1, 2, 3, 4)","(4, 3, 2, 1)",Error,"(1, 2, (3, 4))",0
271,Python,3,Which method would you use to retrieve and remove the last element from a list?,pop(),remove(),delete(),discard(),0
272,Python,3,"What is the output of [1, 2, 3] * 2?","[1, 2, 3, 1, 2, 3]","[1, 2, 3]","[2, 3]",Error,0
273,Python,3,Which data structure allows duplicate values?,List,Set,Dictionary,Tuple,0
274,Python,3,"What is the result of {1, 2} | {2, 3}?","{1, 2, 3}","{1, 2}","{2, 3}","{1, 3}",0
275,Python,3,"What is the output of d = {1: 'a', 2: 'b'}; d[1]?",'a','b',1,Error,0
276,Python,3,Which method is used to clear all items from a dictionary?,clear(),delete(),remove(),pop(),0
277,Python,3,"What is the output of [1, 2, 3].index(2)?",1,2,0,Error,0
278,Python,3,Which data structure cannot have mutable elements?,Tuple,List,Dictionary,Set,0
279,Python,3,"What is the output of ['a', 'b', 'c'][1:3]?","['b', 'c']","['a', 'b']",['c'],Error,0
280,Python,3,What is the method used to add multiple elements to a list?,extend(),append(),insert(),add(),0
281,Python,3,Which of the following is an example of a hash table?,Dictionary,List,Set,Tuple,0
282,Python,3,"What is the output of sorted([3, 1, 2])?","[1, 2, 3]","[3, 1, 2]",Error,"[2, 3, 1]",0
283,Python,3,"What is the output of {1, 2, 3}.add(2)?","{1, 2, 3}","{1, 2}","{2, 3}",Error,0
284,Python,3,What method would you use to get the number of items in a dictionary?,len(),count(),size(),length(),0
285,Python,3,Which method would you use to check if an item exists in a list?,in,exists,contains,has,0
286,Python,3,"What is the output of (1, 2, 3).count(2)?",1,2,Error,0,0
